,"$302,472 ",Warrants Total,"($80,371)","($271,515)","($708,421)","$236,106 ","$236,106 ",,,,,,,,,,,,,,,,,,,,,,"$51,784 ","($113,223)","$85,778 ","($215,483)","($109,006)","($72,918)","($254,982)","($6,107)","($147,130)","$92,426 ","($143,568)","($249,600)","($1,053)","$107,894 ",($721),"$4,678 ","($9,329)","$92,808 ","$568,351 ","($33,544)","$279,761 ","$214,543 ","$2,144 ","$19,637 ","($24,518)","($3,191)","$98,977 ","$82,068 ","($11,510)","$11,355 ","($22,893)","$22,497 ",($120),"($37,673)","($15,962)","($32,579)","($80,440)","($23,765)","($580,067)","$323,837 ","$16,960 ","$15,879 ","($15,779)","($55,338)","($44,675)","($25,199)","$44,056 ","($44,455)","($2,883)","($79,037)","($153,973)","($218,964)","$279,327 ","($244,288)","($37,955)","($83,603)",$580 ,"($87,595)","($183,725)","($47,791)","$42,774 ","($5,265)","$136,956 ",($702),"$362,874 ","($112,640)","($117,421)","$80,432 ","($84,143)",($429),"($1,816)","($173,191)","($140,451)","($351,643)","$1,079 ","($114,661)","$107,294 ","$106,167 ","($438,588)","($125,725)","$118,721 ","$112,748 ","($123,625)","($363,209)","($3,145)","$471,070 ","($8,227)","($116,081)","$173,351 ","($51,689)","$75,288 ","($322,761)","($494,938)","($261,846)","$189,716 ","($401,100)","$262,229 ","($337,347)","($200,990)","($205,672)","($108,639)","($328,115)","$1,289 ","($81,501)","$1,054,939 ","($837,002)","$139,083 ","($2,149,218)","($439,093)","$363,641 ","($239,732)","$272,635 ","($148,906)","$79,828 ","($142,983)","$72,385 ","($686,551)","$287,691 ","($158,219)","($160,477)","($133,367)","$302,252 ","($72,452)","$308,509 ","($746,401)","($102,155)","$1,145,068 ","($298,813)","$430,107 ","$49,609 ","$212,852 ","$353,144 ","($2,087,868)","$90,798 ","($382,632)","($460,898)","($80,891)","($710,557)","$1,932,562 ","($432,296)","$34,151 ","($81,037)","$37,495 ","($52,955)","($314,507)","$148,943 ","($123,915)","$303,644 ","($803,072)","$536,934 ","$8,146 ","($596,913)","($99,650)","$35,641 ","($298,681)","($225,130)","$50,953 ","$332,464 ","$159,024 ","$601,763 ","($632,648)","($354,321)","($541,144)","$129,902 ","($74,996)","($765,716)","($297,487)","$73,428 ","$303,386 ","($42,072)","$328,027 ","($11,228)","($833,298)","$502,182 ","($94,071)","$648,322 ","($1,293,644)","($761,525)","($264,440)","($321,131)","($386,747)","$42,316 ","$194,803 "," $439,554.54 "," $(191,469.05)"," $(167,682.18)"," $(144,336.67)"," $106,037.63 "," $590,082.38 "," $(225,039.36)"," $(77,602.41)"," $(452,808.89)"," $(377,731.02)"," $(423,436.31)"," $121,766.09 "," $(141,623.12)"," $248,392.69 "," $(12,642.96)"," $(37,455.48)"," $(1,396,792.20)"," $(82,740.43)"," $3,433.15 "," $1,363,590.46 "," $(858,750.08)"," $1,824,166.43 "," $48,001.93 "," $(1,969,514.04)"," $(433,382.83)"," $(961,273.37)"," $(850,253.81)"," $678,052.38 "," $187,287.35 "," $962,890.70 "," $(231,795.62)"," $(2,846,322.74)"," $(400,895.76)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$5,629,103 ",Public Positions Total,"($307,535)","($1,154,114)","($2,089,928)","$793,443 ","$793,443 ",,,,,,,,,,,,,,,,,,,,,,"($438,210)","($644,223)","$238,244 ","($2,391)","($96,404)","($144,157)","($695,253)","$21,821 ","$109,884 ","$235,209 ","$317,066 ","($337,285)","($207,238)","($65,372)","($393,390)","$378,045 ","$285,767 ","$59,124 ","$1,231,014 ","($343,919)","$1,005,331 ","$23,454,651 ","($556,199)","$1,546,588 ","($494,161)","($6,953,031)","($6,629,668)","($9,780,869)","($1,810,728)","($341,532)","$12,160,612 ","$5,899,680 ","$5,630,695 ","$976,731 ","($1,916,426)","$6,074,275 ","$10,903,449 ","($1,728,854)","($4,335,440)","$210,273 ","($2,331,082)","$3,088,832 ","$5,738,877 ","$34,392 ","($403,364)","$2,454,514 ","$1,893,114 ","$6,058,321 ","($4,118,155)","($755,241)","($5,032,275)","$2,380,198 ","$3,963,768 ","($4,341,791)","$2,476,895 ","$77,286 ","$387,981 ","($161,695)","$1,175,654 ","$2,806,851 ","($6,015,870)","($867,651)","($582,481)","$36,624 ","($658,985)","($2,395,293)","$160,468 ","($1,301,853)","$4,609,680 ","$487,949 ","$622,276 ","$4,305,951 ","($1,532,424)","($6,488,731)","($553,327)","($623,227)","$2,464,376 ","($253,382)","($352,957)","$738,370 ","($484,078)","$1,740,003 ","$70,621 ","$9,414,103 ","($3,443,292)","($1,919,566)","($2,704,678)","($500,417)","($1,896,130)","($1,378,881)","($1,137,994)","$9,798,642 ","$3,164,630 ","$3,396,358 ","($2,907,211)","($2,672,795)","$131,261 ","($1,401,943)","($2,993,503)","$1,418,835 ","($4,728,783)","($2,619,301)","$2,987,457 ","($3,132,304)","($472,280)","$7,022,424 ","($5,436,790)","($23,398,990)","$7,003,569 ","($573,129)","$3,007,542 ","$2,576,789 ","($1,380,423)","$941,825 ","$2,586,292 ","($9,402)","($2,329,122)","$4,933,242 ","$713,505 ","$4,803,491 ","($6,319,141)","$5,054,169 ","($2,119,626)","($4,174,660)","$642,330 ","($3,511,494)","($17,943,690)","$166,402 ","$71,175,665 ","($1,383,264)","($970,257)","$977,546 ","($9,683,996)","($164,760)","($1,912,325)","($1,700,696)","$1,853,016 ","($753,446)","($3,538,710)","($8,703,421)","($5,170,359)","$9,399 ","($5,798,558)","($2,842,962)","$1,993,864 ","($379,872)","$1,536,332 ","$2,780,213 ","($26,827)","$5,092,257 ","$2,643,514 ","($19,216,541)","($7,323,294)","($3,289,198)","$7,850,301 ","$2,681,898 ","($427,461)","($584,387)","$11,327,306 ","$2,921,277 ","($3,715,151)","($682,338)","($4,541,894)","($1,487,360)","$2,718,795 ","$2,326,980 ","$1,492,541 ","$1,512,757 ","$721,908 ","$6,520,230 ","$2,943,452 ","($1,538,314)","($2,189,032)","$3,789,211 ","($6,400,999)","$5,104,172 ","($1,686,554)","($2,637,540)","($2,987,104)","($4,536,592)","($5,955,908)","($4,101,442)","($1,265,689)"," $2,458,051.76 "," $484,228.81 "," $(569,539.78)"," $2,480,026.22 "," $(4,323,736.52)"," $5,458,748.15 "," $(1,246,626.68)"," $(1,442,858.51)"," $100,118.71 "," $5,206,119.36 "," $(1,334,822.48)"," $(6,539,896.17)"," $(3,239,661.17)"," $9,017,077.47 "," $2,967,125.40 "," $4,087,442.05 "," $(4,891,823.46)"," $116,436.42 "," $(1,050,472.86)"," $10,921,168.43 "," $6,042,360.19 "," $10,202,509.84 "," $(10,132,921.67)"," $(19,089,709.94)"," $(4,089,311.47)"," $2,975,600.81 "," $(12,414,622.16)"," $(2,057,163.53)"," $4,888,352.22 "," $10,281,450.31 "," $6,701,606.05 "," $(35,838,764.64)"," $(5,209,757.21)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$1,019,799,133 ",Other Total,"$286,752 ","$264,376 ","$537,727 ","$2,826,687 ","$2,826,687 ",,,,,,,,,,,,,,,,,,,,,,"$60,871 ","($119,676)","$40,497 ","($4,070)","$104,392 ","($64,168)","$233,127 ","$106,737 ","$72,643 ","($4,270,519)","$57,597 ","$4,420,520 ","$30,476 ","($30,193)","$153,106 ","($36,545)","$293,670 ","$713,888 ","$226,385 ","($120,336)","$84,195 ","($80,049)","($147,959)","$151,989 ","$360,776 ","$148,413 ","$247,234 ","($93,070)","$15,379,743 ","$742,354 ","$5,994,057 ","$94,699 ","$44,803 ","$62,931,093 ","$1,431,253 ","($79,881)","$99,679 ","($4,762,923)","$892,387 ","$860,618 ","$36,620 ","$81,023 ","($439,744)","($71,774)","$101,370 ","$118,513 ","($23,396)","$94,182 ","$200,434 ","$119,118 ","$143,447 ","$88,869 ","$78,601 ","$59,531 ","$39,636 ","$142,027 ","$41,090 ","$1,671,051 ","$75,614 ","$360,858 ","$134,652 ","$44,461 ","$786,805 ","$402,759 ","($23,973)","$93,035 ","($74,664)","$1,664,624 ","$92,627 ","($499,943)","($543,757)","$125,895 ","($3,764,638)","($62,247)","($133,784)","$156,288 ","$22,548 ","($21,927,651)","$35,966 ","($565,478)","($4,572)","($343,922)","$309,390 ","$169,332 ","$115,930 ","$123,232 ","$42,774 ","$174,224 ","$78,864 ","$42,362 ","$87,331 ","$11,142,699 ","($1,913,048)","($2,391,840)","$1,598,649 ","$628,994 ","($1,206,408)","($8,409)","($1,155,578)","$294,526 ","$348,454 ","$270,115 ","($1,014,356)","$320,959 ","($967,771)","$132,240 ","($1,039,234)","($79,790,489)","($91,121)","$165,711 ","$44,814 ","$527,329 ","$25,685 ","$11,956 ","$396,689 ","($38,234)","($463,415)","($183,791)","$26,564 ","$136,011 ","$47,002 ","$1,539,224 ","$68,665 ","$47,491 ","$95,170 ","$1,454,306 ","$295,059 ","$67,131 ","$33,280 ","$161,323 ","($11,324)","$305,115 ","$46,391,149 ","($564,491)","$996,650 ","($311,074)","$899,983 ","($3,955,515)","($937,823)","($257,448)","$59,108 ","$4,651,316 ","$64,891 ","$65,331 ","$439,447 ","($88,964)","($4,793,421)","$424,648 ","($1,048,084)","$906,323 ","$78,443 ","($804,445)","$250,602 ","($327,288)","$26,688,115 ","$184,759 ","$69,887 ","$585,858 ","$979,988 ","$709,498 ","($172,855)","$771,113 ","($487,663)","$321,727 ","$184,628 ","($272,389)","($200,906)","($630,405)","($557,222)","$226,846 ","($78,841)","$46,640 ","$1,677,822 ","$314,989 ","($155,001)","$276,275 ","($1,468,665)","($643,154)","$61,588 ","($819,673)","$119,935 ","($69,373)","$95,770 "," $(179,038.59)"," $(25,133.91)"," $(253,066.27)"," $(393,817.34)"," $(254,984.37)"," $(145,986.88)"," $256,714.32 "," $(16,877.16)"," $(264,153.79)"," $(490,844.17)"," $(18,565.52)"," $761,761.84 "," $13,000,704.06 "," $(538,560.01)"," $127,678.24 "," $1,226,966.86 "," $(351,624.06)"," $(274,532.97)"," $254,967.83 "," $469,594.37 "," $4,370,370.17 "," $1,760.14 "," $(1,819,850.95)"," $1,405,117.93 "," $182,383.53 "," $231,417.56 "," $(98,929.47)"," $304,137.73 "," $(180,750.31)"," $142,921.88 "," $103,074.53 "," $(726,567.08)"," $(317,144.37)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$1,025,428,236 ",Enron Americas Grand Total,"($20,782)","($889,738)","($1,552,201)","$3,620,130 ","$3,620,130 ",,,,,,,,,,,,,,,,,,,,,,"($377,339)","($763,899)","$278,742 ","($6,460)","$7,988 ","($208,325)","($462,126)","$128,558 ","$182,528 ","($4,035,310)","$374,663 ","$4,083,235 ","($176,762)","($95,564)","($240,284)","$341,500 ","$579,437 ","$773,012 ","$1,457,399 ","($464,255)","$1,089,527 ","$23,374,603 ","($704,158)","$1,698,577 ","($133,385)","($6,804,618)","($6,382,434)","($9,873,939)","$13,569,014 ","$400,822 ","$18,154,669 ","$5,994,379 ","$5,675,498 ","$63,907,824 ","($485,173)","$5,994,394 ","$11,003,129 ","($6,491,777)","($3,443,053)","$1,070,891 ","($2,294,462)","$3,169,855 ","$5,299,134 ","($37,382)","($301,994)","$2,573,026 ","$1,869,718 ","$6,152,503 ","($3,917,721)","($636,124)","($4,888,829)","$2,469,067 ","$4,042,369 ","($4,282,260)","$2,516,530 ","$219,313 ","$429,071 ","$1,509,356 ","$1,251,269 ","$3,167,709 ","($5,881,218)","($823,190)","$204,324 ","$439,383 ","($682,958)","($2,302,258)","$85,805 ","$362,771 ","$4,702,308 ","($11,994)","$78,518 ","$4,431,846 ","($5,297,063)","($6,550,978)","($687,111)","($466,939)","$2,486,924 ","($22,181,033)","($316,991)","$172,892 ","($488,650)","$1,396,081 ","$380,011 ","$9,583,435 ","($3,327,362)","($1,796,333)","($2,661,905)","($326,193)","($1,817,266)","($1,336,518)","($1,050,663)","$20,941,341 ","$1,251,582 ","$1,004,518 ","($1,308,562)","($2,043,801)","($1,075,147)","($1,410,352)","($4,149,081)","$1,713,361 ","($4,380,329)","($2,349,186)","$1,973,101 ","($2,811,344)","($1,440,051)","$7,154,664 ","($6,476,024)","($103,189,479)","$6,912,447 ","($407,418)","$3,052,357 ","$3,104,118 ","($1,354,738)","$953,781 ","$2,982,981 ","($47,636)","($2,792,536)","$4,749,452 ","$740,069 ","$4,939,501 ","($6,272,138)","$6,593,393 ","($2,050,962)","($4,127,169)","$737,500 ","($2,057,188)","($17,648,631)","$233,534 ","$71,208,945 ","($1,221,941)","($981,580)","$1,282,661 ","$36,707,154 ","($729,251)","($915,675)","($2,011,770)","$2,753,000 ","($4,708,961)","($4,476,533)","($8,960,868)","($5,111,251)","$4,660,714 ","($5,733,667)","($2,777,631)","$2,433,312 ","($468,837)","($3,257,089)","$3,204,860 ","($1,074,911)","$5,998,580 ","$2,721,957 ","($20,020,986)","($7,072,692)","($3,616,486)","$34,538,416 ","$2,866,658 ","($357,574)","$1,472 ","$12,307,294 ","$3,630,775 ","($3,888,006)","$88,775 ","($5,029,557)","($1,165,633)","$2,903,423 ","$2,054,591 ","$1,291,635 ","$882,352 ","$164,686 ","$6,747,076 ","$2,864,611 ","($1,491,674)","($511,210)","$4,104,200 ","($6,555,999)","$5,380,448 ","($3,155,219)","($3,280,694)","($2,925,516)","($5,356,265)","($5,835,972)","($4,170,815)","($1,169,919)"," $2,279,013.18 "," $459,094.90 "," $(822,606.06)"," $2,086,208.89 "," $(4,578,720.89)"," $5,312,761.27 "," $(989,912.36)"," $(1,459,735.66)"," $(164,035.08)"," $4,715,275.19 "," $(1,353,388.00)"," $(5,778,134.33)"," $9,761,042.90 "," $8,478,517.45 "," $3,094,803.64 "," $5,314,408.91 "," $(5,243,447.52)"," $(158,096.55)"," $(795,505.03)"," $11,390,762.79 "," $10,412,730.36 "," $10,204,269.98 "," $(11,952,772.63)"," $(17,684,592.01)"," $(3,906,927.93)"," $3,207,018.37 "," $(12,513,551.62)"," $(1,753,025.80)"," $4,707,601.91 "," $10,424,372.19 "," $6,804,680.59 "," $(36,565,331.73)"," $(5,526,901.58)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underlying,,,Today,5 Day Rolling,MTD,QTD,YTD,,,,,,,,,,,,,,,,,,,,,,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,Today,,,,,,,,,,,
Share Price,Market Value,LARGE POSITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    ECM SLP - U.S.  Publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46 ,0 ,Hanover Compressor Common ECM,0 ,0 ,0 ,"623,510 ","623,510 ",,,,,Hanover Compressor Common ECM,,,,,,,,,,,,,,,Hanover Compressor Common ECM, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,717,220 ","(374,106)","748,212 ","124,702 ","(3,990,464)","(3,990,464)","(5,611,590)","(623,510)","(498,808)","6,983,312 ","3,491,656 ","3,242,252 ","748,212 ","(1,371,722)","3,990,464 ","6,609,206 ","(1,247,020)","(2,369,338)","249,404 ","(1,496,424)","2,244,636 ","3,117,550 ","374,106 ","(498,808)","1,122,318 ","872,914 ","2,743,444 ","(2,494,040)","(498,808)","(2,494,040)","1,496,424 ","1,621,126 ","(2,119,934)","1,122,318 ","124,702 ","498,808 ","124,702 ","748,212 ","1,496,424 ","(3,242,252)","(374,106)","(249,404)",0 ,"(124,702)","(1,247,020)","(249,404)","(748,212)","2,743,444 ","498,808 ","249,404 ","2,494,040 ","(498,808)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"498,808 ","1,122,318 ","124,702 ","(748,212)","2,494,040 ","498,808 ","3,117,550 ","(3,616,358)","2,618,742 ","(1,122,318)","(2,992,848)","1,122,318 ","(1,247,020)","(11,223,180)","374,106 ","4,988,080 ","(997,616)","(374,106)","124,702 ","(623,510)","623,510 ","(1,621,126)","(124,702)","1,621,126 ","623,510 ","(1,621,126)","(3,990,464)","(2,743,444)","498,808 ","(2,494,040)","(2,618,742)","1,995,232 ","(374,106)","1,371,722 ","1,247,020 ","1,995,232 ","2,369,338 ","1,247,020 ","(249,404)","(3,366,954)","(1,496,424)","4,738,676 ","1,247,020 ","(997,616)","(623,510)","5,611,590 ","374,106 ","(997,616)","623,510 ","(1,745,828)","(1,496,424)","1,870,530 ","35,477,719 ","(29,679,076)","1,745,828 ","436,457 ","436,457 ","1,808,179 ","(374,106)","810,563 ","436,457 ","(4,551,623)","2,119,934 ","311,755 ","311,755 ","(1,932,881)","(1,122,318)","(1,122,318)","(1,309,371)","(498,808)"," (1,184,669.00)"," (997,616.00)"," (623,510.00)"," 2,057,583.00 "," (374,106.00)"," 1,621,126.00 "," 2,119,934.00 "," (62,351.00)"," (1,122,318.00)"," 2,057,583.00 "," 374,106.00 "," (498,808.00)"," (249,404.00)"," 1,184,669.00 ", -   ," 561,159.00 "," 1,122,318.00 "," 2,119,934.00 "," 1,059,967.00 "," 2,306,987.00 "," 1,621,126.00 "," 3,055,199.00 "," (4,988,080.00)"," (1,122,318.00)"," 623,510.00 "," 3,242,252.00 "," (498,808.00)"," (3,179,901.00)"," 623,510.00 "," 1,059,967.00 "," (1,683,477.00)"," (2,556,391.00)"," (1,995,232.00)",,,,,,,,,,,
